"X","Y","juos","elev","slp","asp","point.ID","poly.ID","mukey","taxorder","taxsuborde","taxgrtgrou","taxsubgrp","subord","grtgrp","c_order","c_sbord","c_ggrp","phmin","phave","phmax","frag3to10","sieveno4","sieveno10","sieveno40","sieveno200","sand","silt","clay","omr","dryweight","ksat","awc","wsat","minalogy","reaction","ph_ave","frag_3to10","sieve_4","sieve_10","sieve_40","sieve_200","sand_txt","silt_txt","clay_txt","orgmat","dwieght","ksat_txt","awc_txt","wsat_txt","minerals","calcereous"
-109.459429,40.822733,0,2460,5.3919529914856,81.3597946166992,11,1216,"674445","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,707,900,37,61,56,45,31,56,26,18,308,171,2822,5,11,"mixed",NA,"707","37","61","56","45","31","56","26","18","308","171","2822","5","11","mixed",NA
-109.162837,40.817984,1,2374,5.07790565490723,269.825836181641,12,706,"674439","Aridisols","Argids","Calciargids","Ustic Calciargids","Arg","Cal",103,104,104,660,750,900,45,66,62,52,36,49,30,21,300,158,917,8,12,"not used",NA,"750","45","66","62","52","36","49","30","21","300","158","917","8","12","not used",NA
-109.258097,40.801717,0,2341,4.86133670806885,306.997253417969,13,706,"674439","Aridisols","Argids","Calciargids","Ustic Calciargids","Arg","Cal",103,104,104,660,750,900,45,66,62,52,36,49,30,21,300,158,917,8,12,"not used",NA,"750","45","66","62","52","36","49","30","21","300","158","917","8","12","not used",NA
-109.009584,40.788661,1,1921,5.37979221343994,34.601619720459,14,709,"659481",NA,NA,NA,NA,"non","non",100,100,100,610,794,900,13,72,65,51,31,59,26,15,91,0,0,0,0,"carbonatic","calcareous","794","13","72","65","51","31","59","26","15","91",NA,NA,NA,"na","carbonatic","calcareous"
-110.171101,40.784857,0,3255,1.01806139945984,223.152389526367,15,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-109.934102,40.782897,0,3287,5.84968233108521,217.61003112793,16,1217,"674444","Inceptisols","Cryepts","Dystrocryepts","Humic Dystrocryepts","Cry","Dys",106,107,111,360,586,780,24,67,60,44,29,69,21,10,164,165,917,11,11,"mixed","acid","586","24","67","60","44","29","69","21","10","164","165","917","11","11","mixed","acid"
-109.637991,40.779874,0,2895,1.9256888628006,174.930572509766,17,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-109.341719,40.775925,0,2316,1.36122107505798,163.830963134766,18,706,"674439","Aridisols","Argids","Calciargids","Ustic Calciargids","Arg","Cal",103,104,104,660,750,900,45,66,62,52,36,49,30,21,300,158,917,8,12,"not used",NA,"750","45","66","62","52","36","49","30","21","300","158","917","8","12","not used",NA
-108.986376,40.770306,1,1894,8.06418228149414,26.3696689605713,19,709,"659481",NA,NA,NA,NA,"non","non",100,100,100,610,794,900,13,72,65,51,31,59,26,15,91,0,0,0,0,"carbonatic","calcareous","794","13","72","65","51","31","59","26","15","91",NA,NA,NA,"na","carbonatic","calcareous"
-110.763843,40.742551,0,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-110.6454,40.742247,0,3441,6.6455659866333,115.763137817383,21,1217,"674444","Inceptisols","Cryepts","Dystrocryepts","Humic Dystrocryepts","Cry","Dys",106,107,111,360,586,780,24,67,60,44,29,69,21,10,164,165,917,11,11,"mixed","acid","586","24","67","60","44","29","69","21","10","164","165","917","11","11","mixed","acid"
-110.58618,40.742049,0,3375,6.48583507537842,147.121643066406,22,1217,"674444","Inceptisols","Cryepts","Dystrocryepts","Humic Dystrocryepts","Cry","Dys",106,107,111,360,586,780,24,67,60,44,29,69,21,10,164,165,917,11,11,"mixed","acid","586","24","67","60","44","29","69","21","10","164","165","917","11","11","mixed","acid"
-110.349306,40.740955,0,3999,6.91178560256958,121.423515319824,23,1217,"674444","Inceptisols","Cryepts","Dystrocryepts","Humic Dystrocryepts","Cry","Dys",106,107,111,360,586,780,24,67,60,44,29,69,21,10,164,165,917,11,11,"mixed","acid","586","24","67","60","44","29","69","21","10","164","165","917","11","11","mixed","acid"
-110.230875,40.740226,0,3379,4.48714065551758,166.05940246582,24,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-109.934822,40.737879,0,3297,7.69626569747925,75.7693481445312,25,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-109.757145,40.73624,0,2986,1.91532385349274,43.0363426208496,26,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
-109.51994,40.734235,0,2591,5.57568597793579,214.74528503418,27,1216,"674445","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,707,900,37,61,56,45,31,56,26,18,308,171,2822,5,11,"mixed",NA,"707","37","61","56","45","31","56","26","18","308","171","2822","5","11","mixed",NA
-109.402026,40.731735,0,2610,6.3084864616394,187.298645019531,28,712,"674440","Mollisols","Ustolls","Calciustolls","Aridic Calciustolls","Ust","Cal",107,125,104,660,762,840,36,63,58,49,36,46,35,19,242,118,917,12,37,"carbonatic",NA,"762","36","63","58","49","36","46","35","19","242","118","917","12","37","carbonatic",NA
-109.224464,40.729725,0,2237,5.00807952880859,351.045745849609,29,712,"674440","Mollisols","Ustolls","Calciustolls","Aridic Calciustolls","Ust","Cal",107,125,104,660,762,840,36,63,58,49,36,46,35,19,242,118,917,12,37,"carbonatic",NA,"762","36","63","58","49","36","46","35","19","242","118","917","12","37","carbonatic",NA
-109.165251,40.728195,0,2232,5.65557050704956,176.560134887695,30,706,"674439","Aridisols","Argids","Calciargids","Ustic Calciargids","Arg","Cal",103,104,104,660,750,900,45,66,62,52,36,49,30,21,300,158,917,8,12,"not used",NA,"750","45","66","62","52","36","49","30","21","300","158","917","8","12","not used",NA
-108.869436,40.723131,0,1686,0.525787949562073,327.011474609375,31,1062,"659480","Entisols","Psamments","Torripsamments","Typic Torripsamments","Psa","Tor",104,116,131,740,833,900,7,82,78,64,36,64,20,17,54,147,9174,10,43,"mixed","calcareous","833","7","82","78","64","36","64","20","17","54","147","9174","10","43","mixed","calcareous"
-108.691959,40.719708,1,1910,1.17454731464386,252.758544921875,32,710,"659485","Entisols","Psamments","Torripsamments","Ustic Torripsamments","Psa","Tor",104,116,131,660,780,900,0,93,91,71,30,75,14,11,61,152,9174,9,42,"mixed","calcareous","780","0","93","91","71","30","75","14","11","61","152","9174","9","42","mixed","calcareous"
-110.586459,40.697006,0,3252,8.48154640197754,74.2898025512695,33,1217,"674444","Inceptisols","Cryepts","Dystrocryepts","Humic Dystrocryepts","Cry","Dys",106,107,111,360,586,780,24,67,60,44,29,69,21,10,164,165,917,11,11,"mixed","acid","586","24","67","60","44","29","69","21","10","164","165","917","11","11","mixed","acid"
-110.468065,40.696457,0,3265,4.77060461044312,93.2466888427734,34,1218,"674443","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,593,780,27,60,54,39,24,64,23,14,254,171,2822,5,11,"mixed","acid","593","27","60","54","39","24","64","23","14","254","171","2822","5","11","mixed","acid"
